FIPS,T2,Q2,U10,V10,SWDOWN,GLW
12097,302.69,0.01964,1.41,3.46,274.52,438.02
12099,304.45,0.02051,-1.26,3.34,712.71,443.26
12101,303.18,0.0202,2.39,3.04,633.18,439.38
12103,302.46,0.0209,2.97,5.27,431.85,433.34
12105,302.99,0.01962,1.98,3.68,364.51,439.4
12107,303.61,0.01927,1.49,0.96,639.75,432.97
12109,302.73,0.01891,-1.81,2.0,591.46,431.76
12111,303.72,0.02027,0.11,2.77,709.69,435.8
12113,305.61,0.01593,-0.06,-0.11,955.03,422.55
12115,302.22,0.02035,2.95,4.08,385.13,431.73
12117,302.54,0.02092,0.2,2.79,265.4,445.38
12119,303.14,0.01932,2.74,2.93,293.19,445.53
12121,305.62,0.01683,1.54,2.13,885.41,432.23
12123,304.5,0.01726,1.5,3.05,916.49,419.64
12125,304.26,0.0185,0.93,2.92,853.49,429.53
12127,302.18,0.02065,-0.88,2.22,353.76,440.16
12129,304.68,0.01712,0.05,2.97,864.23,427.0
12131,305.6,0.01629,1.06,0.49,931.04,424.47
12133,306.99,0.01516,0.66,-1.48,925.19,429.82
13001,304.96,0.01597,1.97,0.45,762.35,432.39
13003,305.48,0.01635,1.84,0.4,927.15,424.8
13005,305.04,0.016,1.83,0.83,791.13,433.57
13007,305.5,0.01598,1.24,-0.89,857.06,427.47
13009,304.58,0.01451,1.41,-0.93,891.81,415.63
13011,303.78,0.01446,1.18,0.61,932.21,405.38
13013,303.68,0.01439,0.94,0.09,936.37,404.54
13015,303.43,0.01461,2.45,-2.03,945.37,399.26
13017,304.39,0.0155,1.72,-0.06,663.43,437.42
13019,305.34,0.0162,2.06,0.34,931.32,423.25
13021,304.51,0.01426,1.18,-0.82,799.74,422.84
13023,304.46,0.01472,1.97,-0.56,937.17,409.33
13025,304.86,0.01715,1.83,0.14,919.82,423.2
13027,305.7,0.0157,1.93,0.32,934.65,424.5
13029,304.59,0.01722,1.16,1.18,908.64,422.22
13031,304.83,0.01665,2.38,-0.14,909.7,421.5
13033,304.11,0.01632,2.01,-1.24,896.78,418.58
13035,304.12,0.01446,1.82,-1.29,907.97,411.72
13037,305.41,0.01503,0.92,-1.87,874.11,423.05
13039,304.87,0.01739,0.61,1.34,899.95,426.26
13043,305.37,0.01573,3.08,0.24,922.31,419.03
13045,303.29,0.01445,1.82,-2.34,948.32,400.41
13047,303.61,0.01412,0.25,-3.26,945.06,398.77
13049,305.65,0.01642,2.05,0.74,922.29,426.29
13051,302.86,0.01849,-0.2,3.19,893.79,416.9
13053,305.45,0.01398,0.65,-1.41,933.15,416.45
13055,303.67,0.01361,0.27,-2.42,947.65,399.4
13057,303.1,0.01425,2.84,-1.6,941.74,399.72
13059,303.48,0.01513,1.08,-0.04,934.65,402.69
13061,305.43,0.01496,0.19,-2.16,945.74,416.27
13063,303.86,0.01407,1.32,-1.07,940.72,405.3
13065,305.97,0.01592,2.11,0.66,850.67,430.83
13067,303.38,0.01426,2.78,-2.13,944.35,402.01
13069,305.12,0.01601,1.93,0.14,875.06,426.46
13071,305.24,0.01614,1.7,-0.12,937.43,422.12
13073,304.31,0.01591,1.89,-0.66,919.32,415.19
13075,305.39,0.01624,1.9,0.35,933.74,423.57
13077,303.67,0.01447,1.06,-1.03,943.45,404.61
13079,304.11,0.01421,1.16,-1.13,632.62,437.34
13081,304.63,0.01502,1.72,-1.35,905.13,417.41
13083,303.19,0.01249,0.11,-3.19,951.4,391.19
13085,302.71,0.01387,1.96,-0.97,941.86,395.14
13087,306.06,0.01552,1.52,-1.26,934.83,424.62
13089,303.82,0.014,1.87,-0.7,941.86,404.03
13091,304.93,0.01515,2.18,-0.73,932.32,414.73
13093,304.41,0.01482,1.17,-1.03,942.79,410.58
13095,305.2,0.01549,1.04,-1.03,661.37,442.11
13097,303.67,0.0141,1.88,-1.92,944.44,402.91
13099,305.63,0.01566,0.49,-1.56,940.86,422.59
13101,305.88,0.01545,2.03,0.43,646.72,444.98
13103,303.1,0.01808,1.09,0.57,777.41,427.05
13105,304.07,0.0154,1.65,-0.1,925.76,409.22
13107,304.98,0.01564,2.94,-0.04,918.14,418.27
13109,305.54,0.01581,2.84,0.61,920.15,421.54
13111,300.41,0.01419,1.48,-2.79,947.44,379.89
13113,303.63,0.01431,1.49,-0.78,895.1,410.27
13115,303.83,0.01423,1.26,-2.26,945.95,402.23
13117,303.68,0.01385,2.31,-0.56,940.72,401.27
13119,303.64,0.01503,0.98,1.02,929.63,406.38
13121,303.83,0.01401,2.17,-1.38,943.47,403.79
13123,301.31,0.01415,1.67,-2.12,945.89,386.97
13125,304.37,0.01568,1.85,-1.17,875.57,419.65
13127,302.84,0.01884,-0.3,1.37,913.95,417.39
13129,303.46,0.0145,1.61,-2.11,943.59,400.69
13131,305.88,0.01547,1.56,-0.77,909.95,426.85
13133,303.85,0.01531,1.47,-1.22,930.04,408.73
13135,303.63,0.01396,2.02,-0.22,940.98,402.68
13137,302.81,0.01397,1.61,0.51,936.43,396.29
13139,303.77,0.01394,1.76,-0.09,937.13,402.08
13141,303.95,0.01497,1.7,-1.25,866.37,416.81
13143,302.86,0.01461,1.92,-2.48,951.94,394.29
13145,304.08,0.01488,0.66,-1.7,944.4,408.41
13147,303.7,0.01526,1.27,0.9,928.43,405.28
13149,303.83,0.01442,0.86,-1.74,946.07,405.33
13151,303.6,0.01466,1.36,-0.96,941.59,403.64
13153,304.78,0.01431,0.82,-0.63,937.96,411.12
13155,304.23,0.01588,2.17,-0.19,711.81,435.13
13157,303.83,0.01439,0.86,0.6,933.42,405.36
13159,303.52,0.01431,1.5,-0.9,582.37,437.67
13161,304.86,0.01574,2.03,0.01,785.9,433.83
13163,304.72,0.01582,2.22,-1.0,922.16,417.13
13165,304.51,0.01622,2.22,-1.07,900.75,420.01
13167,304.6,0.01517,2.46,-0.22,927.21,412.95
13169,304.06,0.01431,1.37,-1.13,731.27,426.56
13171,303.3,0.01428,1.4,-1.39,574.61,432.68
13173,305.86,0.01617,2.01,0.52,930.4,424.87
13175,304.78,0.01476,2.07,-0.53,931.08,412.65
13177,304.77,0.01525,1.07,-1.53,851.51,423.54
13179,304.45,0.01718,1.75,2.08,905.92,422.36
13181,304.3,0.01558,1.91,-1.01,842.23,421.18
13183,303.64,0.01768,1.33,0.95,892.8,420.75
13185,306.0,0.01563,1.97,0.46,932.91,424.72
13187,301.98,0.01416,1.89,-1.36,941.1,391.9
13189,304.19,0.01588,1.91,-1.0,921.93,414.12
13191,303.56,0.01817,1.15,2.99,908.25,419.0
13193,304.95,0.01432,0.72,-0.89,940.4,412.08
13195,303.58,0.01504,1.15,0.61,931.35,403.62
13197,304.71,0.0141,0.71,-1.3,828.45,421.44
13199,303.58,0.01469,1.06,-1.37,929.23,407.21
13201,305.36,0.01595,1.08,-1.31,867.55,429.34
13205,305.14,0.01606,1.54,-0.56,940.56,422.43
13207,303.86,0.01435,1.3,-1.23,641.85,435.44
13209,305.0,0.01541,2.21,-0.34,926.58,417.15
13211,304.06,0.0146,1.09,-0.76,916.26,410.58
13213,302.54,0.01439,1.5,-2.89,941.92,396.88
13215,305.1,0.01432,1.13,-1.95,874.85,421.88
13217,303.94,0.01461,1.78,-0.44,912.93,409.55
13219,303.88,0.01472,0.94,-0.34,933.53,405.73
13221,303.81,0.01535,1.39,-0.38,929.44,406.92
13223,303.24,0.01466,2.54,-2.31,946.28,399.3
13225,304.92,0.01407,0.68,-0.98,865.73,418.93
13227,302.28,0.01438,2.79,-1.52,942.78,394.65
13229,304.29,0.0173,1.08,1.1,922.95,420.01
13231,303.54,0.01444,1.33,-1.45,763.86,423.64
13233,303.32,0.01452,1.74,-2.28,947.89,398.68
13235,304.48,0.01498,1.73,-1.13,938.76,412.1
13237,304.08,0.01469,1.35,-1.22,815.75,420.34
13239,305.01,0.01454,-0.17,-1.36,947.64,409.94
