FIPS,T2
27155,92.21
27157,82.4
27159,89.31
27161,84.0
27163,84.6
27165,85.6
27167,91.99
27169,83.34
27171,85.01
27173,88.79
28001,100.74
28003,93.52
28005,98.24
28007,96.19
28009,93.81
28011,98.38
28013,96.12
28015,96.87
28017,96.98
28019,95.83
28021,100.04
28023,95.77
28025,98.56
28027,95.5
28029,98.46
28031,96.39
28033,94.91
28035,96.78
28037,98.67
28039,97.27
28041,95.79
28043,96.71
28045,97.9
28047,94.69
28049,99.54
28051,97.99
28053,101.1
28055,101.82
28057,95.18
28059,95.38
28061,96.37
28063,99.55
28065,96.85
28067,96.15
28069,95.79
28071,96.06
28073,96.91
28075,95.18
28077,97.54
28079,96.26
28081,96.3
28083,99.1
28085,97.63
28087,96.91
28089,98.19
28091,98.13
28093,94.6
28095,96.62
28097,96.4
28099,95.34
28101,95.83
28103,97.47
28105,98.06
28107,95.4
28109,99.16
28111,96.12
28113,97.93
28115,96.12
28117,94.44
28119,95.99
28121,98.26
28123,96.6
28125,102.25
28127,96.73
28129,96.26
28131,96.53
28133,99.1
28135,96.6
28137,95.16
28139,94.05
28141,93.72
28143,95.25
28145,95.52
28147,98.13
28149,100.83
28151,101.05
28153,95.61
28155,96.42
28157,99.86
28159,95.38
28161,95.94
28163,99.54
29001,87.37
29003,89.37
29005,90.66
29007,88.18
29009,91.06
29011,91.42
29013,91.92
29015,90.7
29017,90.97
29019,89.2
29021,91.06
29023,92.52
29025,89.22
29027,89.56
29029,90.09
29031,90.55
29033,88.07
29035,91.4
29037,92.12
29039,91.72
29041,87.35
29043,89.56
29045,87.78
29047,91.65
29049,90.05
29051,89.94
29053,88.72
29055,87.6
29057,90.77
29059,89.22
29061,89.17
29063,89.46
29065,86.95
29067,89.31
29069,92.48
29071,89.38
29073,89.94
29075,90.05
29077,89.65
29079,88.34
29081,89.44
29083,91.72
29085,90.32
29087,90.5
29089,88.27
29091,90.03
29093,87.96
29095,92.77
29097,92.52
29099,88.29
29101,90.43
29103,86.92
29105,88.34
29107,89.62
29109,89.98
29111,87.21
29113,90.43
29115,87.8
29117,88.27
29119,93.92
29121,87.37
29123,89.87
29125,89.08
29127,86.29
29129,87.91
29131,89.73
29133,92.41
29135,89.22
29137,88.0
29139,89.29
29141,89.49
29143,92.7
29145,93.18
29147,90.73
29149,91.49
29151,90.28
29153,91.15
29155,92.64
29157,89.73
29159,88.95
29161,87.96
29163,89.37
29165,92.21
29167,90.14
29169,88.54
29171,87.21
29173,87.85
29175,87.64
29177,90.1
29179,89.01
29181,92.82
29183,90.01
29185,91.76
29186,88.88
29187,88.02
29189,89.29
29195,87.13
29197,87.73
29199,87.64
29201,91.9
29203,89.37
29205,86.0
29207,92.1
29209,90.7
29211,87.87
29213,90.91
29215,87.6
29217,91.9
29219,89.67
29221,87.13
29223,91.62
29225,88.27
29227,90.16
29229,87.85
29510,90.48
30001,85.53
30003,98.51
30005,96.73
30007,94.26
30009,92.59
30011,97.97
30013,95.38
30015,99.75
30017,100.31
30019,97.2
30021,98.55
30023,83.1
30025,98.06
30027,98.24
30029,85.89
30031,88.95
30033,98.83
30035,88.0
30037,98.69
30039,84.29
30041,97.88
30043,90.12
30045,92.44
30047,90.59
30049,88.03
30051,98.2
30053,87.76
30055,99.14
30057,88.36
30059,88.16
30061,88.56
30063,87.4
30065,101.66
30067,85.33
30069,101.05
30071,98.37
